"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
18,90,"RL",72,10791,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","0","0","0","0",0,"0",0,0,0,"GasA","TA","Y","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"TA",6,"Typ",0,"0","BuiltIn","1967","RFn",2,516,"Po","Po","Y",0,0,0,0,0,0,"0","0","Othr",500,10,2006,"WD","Normal",90000
19,20,"RL",66,13695,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","Po","Mn","BLQ",646,"Rec",0,468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,"0","CarPort","2004","RFn",2,576,"Po","Po","Y",0,102,0,0,0,0,"0","0","0",0,6,2008,"WD","Normal",159000
20,20,"RL",70,7560,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","Gd","Po","Mn","GLQ",504,"Rec",0,525,1029,"GasA","TA","Y","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"TA",6,"Min1",0,"0","2Types","1958","RFn",1,294,"Po","Po","Y",0,0,0,0,0,0,"0","GdWo","0",0,5,2009,"COD","Abnorml",139000
21,60,"RL",101,14215,"Pave","0","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","0","Po","0","Rec",0,"Rec",0,1158,1158,"GasA","Ex","Y","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,"Typ",1,"Fa","Basment","2005","Fin",3,853,"Po","Po","Y",240,154,0,0,0,0,"0","0","0",0,11,2006,"New","Partial",325300
22,45,"RM",57,7449,"Pave","0","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Gd","Po","Mn","Rec",0,"Rec",0,637,637,"GasA","Ex","Y","FuseF",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,"Typ",1,"Fa","2Types","1930","RFn",1,280,"Po","Po","N",0,0,205,0,0,0,"0","0","0",0,6,2007,"WD","Normal",139400
23,20,"RL",75,9742,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Fa","Po","Mn","Rec",0,"Rec",0,1777,1777,"GasA","Ex","Y","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,"Typ",1,"Fa","2Types","2002","Fin",2,534,"Po","Po","Y",171,159,0,0,0,0,"0","0","0",0,9,2008,"WD","Normal",230000
24,120,"RM",44,4224,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Fa","Po","Mn","BLQ",840,"Rec",0,200,1040,"GasA","TA","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"TA",6,"Typ",1,"Po","2Types","1976","RFn",2,572,"Po","Po","Y",100,110,0,0,0,0,"0","0","0",0,6,2007,"WD","Normal",129900
25,20,"RL",70.0499583680267,8246,"Pave","0","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","Gd","Po","Gd","LwQ",188,"0",668,204,1060,"GasA","Ex","Y","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,"Typ",1,"Po","2Types","1968","RFn",1,270,"Po","Po","Y",406,90,0,0,0,0,"0","GdWo","0",0,5,2010,"WD","Normal",154000
26,20,"RL",110,14230,"Pave","0","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Fa","Po","Mn","Rec",0,"Rec",0,1566,1566,"GasA","Ex","Y","SBrkr",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,"Typ",1,"Fa","2Types","2007","Fin",3,890,"Po","Po","Y",0,56,0,0,0,0,"0","0","0",0,7,2009,"WD","Normal",256300
27,20,"RL",60,7200,"Pave","0","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","Gd","Po","Gd","ALQ",234,"LwQ",486,180,900,"GasA","TA","Y","SBrkr",900,0,0,900,0,1,1,0,3,1,"Gd",5,"Typ",0,"0","CarPort","2005","RFn",2,576,"Po","Po","Y",222,32,0,0,0,0,"0","0","0",0,5,2010,"WD","Normal",134800
28,20,"RL",98,11478,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","0","Po","Mn","BLQ",1218,"Rec",0,486,1704,"GasA","Ex","Y","SBrkr",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Fa","2Types","2008","Fin",3,772,"Po","Po","Y",0,50,0,0,0,0,"0","0","0",0,5,2010,"WD","Normal",306000
29,20,"RL",47,16321,"Pave","0","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","Po","Av","ALQ",1277,"Rec",0,207,1484,"GasA","TA","Y","SBrkr",1600,0,0,1600,1,0,1,0,2,1,"TA",6,"Typ",2,"Fa","2Types","1957","Fin",1,319,"Po","Po","Y",288,258,0,0,0,0,"0","0","0",0,12,2006,"WD","Normal",207500
30,30,"RM",60,6324,"Pave","0","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","Gd","Po","Mn","Rec",0,"Rec",0,520,520,"GasA","Fa","N","SBrkr",520,0,0,520,0,0,1,0,1,1,"Fa",4,"Typ",0,"0","CarPort","1920","RFn",1,240,"Ex","Po","Y",49,0,87,0,0,0,"0","0","0",0,5,2008,"WD","Normal",68500
31,70,"C (all)",50,8500,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","Gd","Po","Mn","Rec",0,"Rec",0,649,649,"GasA","TA","N","SBrkr",649,668,0,1317,0,0,1,0,3,1,"TA",6,"Typ",0,"0","CarPort","1920","RFn",1,250,"Po","Ex","N",0,54,172,0,0,0,"0","GdWo","0",0,7,2008,"WD","Normal",40000
32,20,"RL",70.0499583680267,8544,"Pave","0","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","Po","Mn","Rec",0,"Rec",0,1228,1228,"GasA","Gd","Y","SBrkr",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,"Typ",0,"0","2Types","1966","RFn",1,271,"Po","Po","Y",0,65,0,0,0,0,"0","GdWo","0",0,6,2008,"WD","Normal",149350
33,20,"RL",85,11049,"Pave","0","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","0","Po","0","Rec",0,"Rec",0,1234,1234,"GasA","Ex","Y","SBrkr",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,"Typ",0,"0","2Types","2007","Fin",2,484,"Po","Po","Y",0,30,0,0,0,0,"0","0","0",0,1,2008,"WD","Normal",179900
34,20,"RL",70,10552,"Pave","0","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","Gd","Po","Mn","LwQ",1018,"Rec",0,380,1398,"GasA","Gd","Y","SBrkr",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,"Typ",1,"Fa","2Types","1959","Fin",2,447,"Po","Po","Y",0,38,0,0,0,0,"0","0","0",0,4,2010,"WD","Normal",165500
35,120,"RL",60,7313,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","0","Po","Mn","BLQ",1153,"Rec",0,408,1561,"GasA","Ex","Y","SBrkr",1561,0,0,1561,1,0,2,0,2,1,"Ex",6,"Typ",1,"Fa","2Types","2005","0",2,556,"Po","Po","Y",203,47,0,0,0,0,"0","0","0",0,8,2007,"WD","Normal",277500
36,60,"RL",108,13418,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","0","Po","0","Rec",0,"Rec",0,1117,1117,"GasA","Ex","Y","SBrkr",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,"Typ",1,"Fa","Basment","2004","0",3,691,"Po","Po","Y",113,32,0,0,0,0,"0","0","0",0,9,2006,"WD","Normal",309000
37,20,"RL",112,10859,"Pave","0","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Fa","Po","Mn","Rec",0,"Rec",0,1097,1097,"GasA","Ex","Y","SBrkr",1097,0,0,1097,0,0,1,1,3,1,"TA",6,"Typ",0,"0","2Types","1995","RFn",2,672,"Po","Po","Y",392,64,0,0,0,0,"0","0","0",0,6,2009,"WD","Normal",145000
38,20,"RL",74,8532,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","Gd","Po","Mn","LwQ",1213,"Rec",0,84,1297,"GasA","Gd","Y","SBrkr",1297,0,0,1297,0,1,1,0,3,1,"TA",5,"Typ",1,"Po","2Types","1954","0",2,498,"Po","Po","Y",0,0,0,0,0,0,"0","0","0",0,10,2009,"WD","Normal",153000
39,20,"RL",68,7922,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","Gd","Po","Mn","BLQ",731,"Rec",0,326,1057,"GasA","TA","Y","SBrkr",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,"Typ",0,"0","CarPort","1953","RFn",1,246,"Po","Po","Y",0,52,0,0,0,0,"0","0","0",0,1,2010,"WD","Abnorml",109000
40,90,"RL",65,6040,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc","0","0","0","0",0,"0",0,0,0,"GasA","TA","N","FuseP",1152,0,0,1152,0,0,2,0,2,2,"Fa",6,"Typ",0,"0","0","1980","0",0,0,"0","0","N",0,0,0,0,0,0,"0","0","0",0,6,2008,"WD","AdjLand",82000
41,20,"RL",84,8658,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","Gd","Po","Mn","LwQ",643,"Rec",0,445,1088,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"Po","2Types","1965","Fin",2,440,"Po","Po","Y",0,138,0,0,0,0,"0","GdPrv","0",0,12,2006,"WD","Abnorml",160000
42,20,"RL",115,16905,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","Gd","Po","Av","ALQ",967,"Rec",0,383,1350,"GasA","Gd","Y","SBrkr",1328,0,0,1328,0,1,1,1,2,1,"TA",5,"Typ",2,"Fa","2Types","1959","Fin",1,308,"Po","Po","P",0,104,0,0,0,0,"0","0","0",0,7,2007,"WD","Normal",170000
43,85,"RL",70.0499583680267,9180,"Pave","0","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Fa","Po","0","0",747,"GLQ",93,0,840,"GasA","Gd","Y","SBrkr",884,0,0,884,1,0,1,0,2,1,"Gd",5,"Typ",0,"0","2Types","1983","Fin",2,504,"Po","Fa","Y",240,0,0,0,0,0,"0","GdWo","0",0,12,2007,"WD","Normal",144000
44,20,"RL",70.0499583680267,9200,"Pave","0","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Fa","Po","0","GLQ",280,"ALQ",491,167,938,"GasA","TA","Y","SBrkr",938,0,0,938,1,0,1,0,3,1,"TA",5,"Typ",0,"0","CarPort","1977","RFn",1,308,"Po","Po","Y",145,0,0,0,0,0,"0","GdWo","0",0,7,2008,"WD","Normal",130250
45,20,"RL",70,7945,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","Gd","Po","Mn","0",179,"ALQ",506,465,1150,"GasA","Ex","Y","FuseA",1150,0,0,1150,1,0,1,0,3,1,"TA",6,"Typ",0,"0","2Types","1959","Fin",1,300,"Po","Po","Y",0,0,0,0,0,0,"0","0","0",0,5,2006,"WD","Normal",141000
46,120,"RL",61,7658,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","0","Po","Mn","BLQ",456,"Rec",0,1296,1752,"GasA","Ex","Y","SBrkr",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Fa","2Types","2005","Fin",2,576,"Po","Po","Y",196,82,0,0,0,0,"0","0","0",0,2,2010,"WD","Normal",319900
47,50,"RL",48,12822,"Pave","0","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","0","Po","Mn","BLQ",1351,"Rec",0,83,1434,"GasA","Ex","Y","SBrkr",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,"Typ",1,"0","2Types","2003","Fin",2,670,"Po","Po","Y",168,43,0,0,198,0,"0","0","0",0,8,2009,"WD","Abnorml",239686
48,20,"FV",84,11096,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Fa","Po","0","BLQ",24,"Rec",0,1632,1656,"GasA","Ex","Y","SBrkr",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,"Typ",0,"0","2Types","2006","Fin",3,826,"Po","Po","Y",0,146,0,0,0,0,"0","0","0",0,7,2007,"WD","Normal",249700
